Cmpd Label,Smiles,Energy(eV)
1it,N(c1ccc(c2ccccc2)cc1)(C)C,4.4861
1iiit,N(c1ccc(c2ccccc2)cc1)(CCO)CC,4.4248
1ivt,N(c1ccc(c2ccccc2)cc1)(CCF)C,4.5036
1iiih,N(c1ccc(c2ccccn2)cc1)(CCO)CC,4.0997
1ivh,N(c1ccc(c2ccccn2)cc1)(CCF)C,4.191
1iiii,N(c1ccc(c2cccnc2)cc1)(CCO)CC,4.3252
1ivi,N(c1ccc(c2cccnc2)cc1)(CCF)C,4.41
1ij,N(c1ccc(c2cncnc2)cc1)(C)C,4.2983
1ivj,N(c1ccc(c2cncnc2)cc1)(CCF)C,4.3378
1iil,N(c1ccc(c2ccc(c(=O)o2)C#N)cc1)(CCF)CC,3.0932
1iiu,N(c1ccc(c2cc(=O)c(co2)C#N)cc1)(CCF)CC,3.8125
1iio,N(c1ccc(c2c(cc(c(=O)o2)C#N)C)cc1)(CCF)CC,3.1572
1iiq,N(c1ccc(c2c(c(=O)c(co2)C#N)C)cc1)(CCF)CC,4.019
1iim,N(c1ccc(c2cc(c(c(=O)o2)C#N)C)cc1)(CCF)CC,3.1409
1iip,N(c1ccc(c2cc(=O)c(c(C)o2)C#N)cc1)(CCF)CC,3.8324
1iiip,N(c1ccc(c2cc(=O)c(c(C)o2)C#N)cc1)(CCO)CC,3.7814
1il,N(c1ccc(c2ccc(C#N)c(=O)o2)cc1)(C)C,3.0824
1iiil,N(c1ccc(c2ccc(c(=O)o2)C#N)cc1)(CCO)CC,3.0549
1ivl,N(c1ccc(c2ccc(c(=O)o2)C#N)cc1)(CCF)C,3.1154
1iu,N(c1ccc(c2cc(=O)c(co2)C#N)cc1)(C)C,3.7942
1iiiu,N(c1ccc(c2cc(=O)c(co2)C#N)cc1)(CCO)CC,3.7612
1ivu,N(c1ccc(c2cc(=O)c(co2)C#N)cc1)(CCF)C,3.845
1io,N(c1ccc(c2c(cc(C#N)c(=O)o2)C)cc1)(C)C,3.1438
1iiio,N(c1ccc(c2c(cc(c(=O)o2)C#N)C)cc1)(CCO)CC,3.1131
1ivo,N(c1ccc(c2c(cc(c(=O)o2)C#N)C)cc1)(CCF)C,3.1858
1iq,N(c1ccc(c2c(c(=O)c(co2)C#N)C)cc1)(C)C,4.0005
1ivp,N(c1ccc(c2oc(c(c(=O)c2)C#N)C)cc1)(CCF)C,3.8682
1iiiq,N(c1ccc(c2c(c(=O)c(co2)C#N)C)cc1)(CCO)CC,3.965
1ivq,N(c1ccc(c2occ(c(=O)c2C)C#N)cc1)(CCF)C,4.0534
1im,N(c1ccc(c2cc(c(C#N)c(=O)o2)C)cc1)(C)C,3.1293
1iiim,N(c1ccc(c2cc(c(c(=O)o2)C#N)C)cc1)(CCO)CC,3.0987
1ivm,N(c1ccc(c2cc(c(c(=O)o2)C#N)C)cc1)(CCF)C,3.1642
1ip,N(c1ccc(c2cc(=O)c(c(C)o2)C#N)cc1)(C)C,3.8134
2id,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(cc1)C#N,3.6732
2ie,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(cn1)C#N,3.4229
2if,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(C#N)nc1,3.5919
2ig,c1(cc2c(cc1)cc(cc2)N(C)C)c1cnc(C#N)nc1,3.4631
2ih,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccccn1,3.7269
2ii,c1(cc2c(cc1)cc(cc2)N(C)C)c1cccnc1,3.7973
2ij,c1(cc2c(cc1)cc(cc2)N(C)C)c1cncnc1,3.7705
2it,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccccc1,3.9664
2iv,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(cc1)N(=O)=O,3.3931
2iw,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(cn1)N(=O)=O,3.143
2ix,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(N(=O)=O)nc1,3.3685
2iy,c1(cc2c(cc1)cc(cc2)N(C)C)c1cnc(N(=O)=O)nc1,3.4479
2iid,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(cc1)C#N,3.6857
2iie,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(cn1)C#N,3.419
2iif,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(C#N)nc1,3.6141
2iig,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1cnc(C#N)nc1,3.4938
2iih,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccccn1,3.7265
2iii,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1cccnc1,4.3217
2iij,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1cncnc1,4.2726
2iit,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccccc1,4.2431
2iiv,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(cc1)N(=O)=O,3.8607
2iiw,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(cn1)N(=O)=O,3.2919
2iix,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(N(=O)=O)nc1,3.8401
2iiy,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1cnc(N(=O)=O)nc1,3.6105
2iiid,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1ccc(cc1)C#N,3.641
2iiie,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1ccc(cn1)C#N,3.8485
2iiif,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1ccc(C#N)nc1,4.0361
2iiig,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1cnc(C#N)nc1,3.4458
2iiih,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1ccccn1,3.6866
2iiii,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1cccnc1,4.2647
2iiij,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1cncnc1,4.2285
2iiit,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1ccccc1,3.7558
2iiiv,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1ccc(cc1)N(=O)=O,3.3626
2iiiw,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1ccc(cn1)N(=O)=O,3.1275
2iiix,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1ccc(N(=O)=O)nc1,3.3442
2iiiy,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1cnc(N(=O)=O)nc1,3.4299
2ivd,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1ccc(cc1)C#N,4.0635
2ivf,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1ccc(C#N)nc1,3.9858
2ivg,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1cnc(C#N)nc1,3.5206
2ivh,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1ccccn1,4.0959
2ivi,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1cccnc1,4.1927
2ivj,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1cncnc1,4.169
2ivt,c1(cc2c(cc1)cc(cc2)N(C)CCF)c1ccccc1,4.1963
2ivv,c1(cc2c(cc1)cc(cc2)N(C)CCF)c1ccc(cc1)N(=O)=O,3.8142
2ivw,c1(cc2c(cc1)cc(cc2)N(C)CCF)c1ccc(cn1)N(=O)=O,3.5529
2ivx,c1(cc2c(cc1)cc(cc2)N(C)CCF)c1ccc(N(=O)=O)nc1,3.426
2ivy,c1(cc2c(cc1)cc(cc2)N(C)CCF)c1cnc(N(=O)=O)nc1,3.5118
2il,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(C#N)c(=O)o1,2.9299
2im,c1(cc2c(cc1)cc(cc2)N(C)C)c1cc(c(C#N)c(=O)o1)C,2.9805
2ip,c1(cc2c(cc1)cc(cc2)N(C)C)c1oc(c(C#N)c(=O)c1)C,3.5011
2iq,c1(cc2c(cc1)cc(cc2)N(C)C)c1occ(C#N)c(=O)c1C,3.6641
2iil,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(C#N)c(=O)o1,2.966
